Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2019-100000,2019-04-13,2019-04-19,Second Class,CU-3185,Customer 431,Home Office,United States,City,State,West,Furniture,Chairs,Chairs Product,415.75,6,0.2,28.2
CA-2019-100001,2019-12-15,2019-12-19,Standard Class,CU-6404,Customer 274,Home Office,United States,City,State,West,Furniture,Chairs,Chairs Product,303.05,2,0.1,39.3
CA-2019-100002,2019-09-28,2019-09-30,Same Day,CU-9444,Customer 19,Home Office,United States,City,State,Central,Furniture,Tables,Tables Product,227.71,3,0.3,-45.13
CA-2019-100003,2019-04-17,2019-04-21,Standard Class,CU-2885,Customer 405,Consumer,United States,City,State,South,Technology,Accessories,Accessories Product,465.8,4,0.0,93.43
CA-2019-100004,2019-03-13,2019-03-14,Same Day,CU-3731,Customer 424,Corporate,United States,City,State,Central,Technology,Phones,Phones Product,587.28,5,0.2,104.26
CA-2019-100005,2019-07-08,2019-07-12,Standard Class,CU-9959,Customer 410,Corporate,United States,City,State,West,Technology,Phones,Phones Product,1314.08,7,0.3,163.7
CA-2019-100006,2019-01-21,2019-01-26,Second Class,CU-1244,Customer 66,Corporate,United States,City,State,West,Office Supplies,Labels,Labels Product,111.65,6,0.0,4.2
CA-2019-100007,2019-04-13,2019-04-18,Same Day,CU-8310,Customer 352,Consumer,United States,City,State,East,Furniture,Tables,Tables Product,1188.0,8,0.1,162.17
CA-2019-100008,2019-05-02,2019-05-06,Same Day,CU-9234,Customer 264,Home Office,United States,City,State,East,Office Supplies,Binders,Binders Product,461.2,4,0.2,132.22
CA-2019-100009,2019-08-03,2019-08-08,First Class,CU-1560,Customer 307,Corporate,United States,City,State,East,Office Supplies,Storage,Storage Product,830.22,2,0.0,125.62
CA-2019-100010,2019-11-27,2019-11-29,Second Class,CU-6582,Customer 199,Home Office,United States,City,State,South,Technology,Accessories,Accessories Product,1384.15,6,0.1,-26.17
CA-2019-100011,2019-03-29,2019-04-04,First Class,CU-2725,Customer 473,Corporate,United States,City,State,South,Office Supplies,Storage,Storage Product,1700.44,9,0.3,30.65
CA-2019-100012,2019-04-10,2019-04-14,Second Class,CU-6985,Customer 313,Home Office,United States,City,State,East,Technology,Accessories,Accessories Product,1019.84,7,0.0,272.72
CA-2019-100013,2019-12-26,2019-12-28,Same Day,CU-6902,Customer 193,Corporate,United States,City,State,Central,Furniture,Chairs,Chairs Product,1610.64,6,0.1,-297.11
CA-2019-100014,2019-06-01,2019-06-07,First Class,CU-9201,Customer 49,Home Office,United States,City,State,Central,Office Supplies,Binders,Binders Product,1793.08,1,0.2,239.41
CA-2019-100015,2019-05-11,2019-05-17,First Class,CU-5366,Customer 483,Home Office,United States,City,State,East,Technology,Phones,Phones Product,377.61,7,0.0,-5.91
CA-2019-100016,2019-05-30,2019-06-01,First Class,CU-3689,Customer 23,Home Office,United States,City,State,Central,Office Supplies,Storage,Storage Product,501.21,5,0.0,101.72
CA-2019-100017,2019-11-05,2019-11-08,Standard Class,CU-4621,Customer 100,Consumer,United States,City,State,West,Furniture,Chairs,Chairs Product,161.68,3,0.2,39.95
CA-2019-100018,2019-09-15,2019-09-19,Same Day,CU-2645,Customer 196,Consumer,United States,City,State,South,Furniture,Chairs,Chairs Product,1209.59,4,0.0,-195.77
CA-2019-100019,2019-12-10,2019-12-16,Standard Class,CU-7507,Customer 459,Corporate,United States,City,State,West,Technology,Phones,Phones Product,572.16,5,0.3,67.55
CA-2019-100020,2019-10-21,2019-10-27,Standard Class,CU-7449,Customer 190,Home Office,United States,City,State,East,Technology,Phones,Phones Product,1569.02,3,0.0,82.98
CA-2019-100021,2019-07-11,2019-07-16,Standard Class,CU-9808,Customer 483,Home Office,United States,City,State,Central,Furniture,Tables,Tables Product,414.35,9,0.0,9.86
CA-2019-100022,2019-10-04,2019-10-10,Second Class,CU-1256,Customer 346,Corporate,United States,City,State,East,Office Supplies,Binders,Binders Product,243.89,8,0.0,6.72
CA-2019-100023,2019-06-10,2019-06-12,First Class,CU-3402,Customer 215,Consumer,United States,City,State,South,Technology,Laptops,Laptops Product,678.95,7,0.3,33.12
CA-2019-100024,2019-11-10,2019-11-16,Same Day,CU-5670,Customer 224,Consumer,United States,City,State,East,Office Supplies,Labels,Labels Product,446.79,1,0.0,-48.56
CA-2019-100025,2019-01-22,2019-01-25,Same Day,CU-2403,Customer 403,Consumer,United States,City,State,South,Technology,Laptops,Laptops Product,519.33,6,0.3,8.51
CA-2019-100026,2019-09-10,2019-09-14,Same Day,CU-8195,Customer 65,Consumer,United States,City,State,Central,Technology,Accessories,Accessories Product,176.16,5,0.3,7.22
CA-2019-100027,2019-08-24,2019-08-28,Second Class,CU-5299,Customer 53,Corporate,United States,City,State,South,Office Supplies,Paper,Paper Product,92.1,7,0.1,-5.74
CA-2019-100028,2019-12-11,2019-12-17,Standard Class,CU-8433,Customer 10,Consumer,United States,City,State,Central,Office Supplies,Binders,Binders Product,527.03,5,0.2,22.67
CA-2019-100029,2019-02-18,2019-02-19,Standard Class,CU-7475,Customer 324,Home Office,United States,City,State,East,Technology,Laptops,Laptops Product,819.04,7,0.2,-98.92
CA-2019-100030,2019-02-28,2019-03-01,Same Day,CU-6931,Customer 470,Home Office,United States,City,State,West,Office Supplies,Paper,Paper Product,1145.94,1,0.2,213.65
CA-2019-100031,2019-06-19,2019-06-21,First Class,CU-3801,Customer 90,Corporate,United States,City,State,West,Office Supplies,Paper,Paper Product,960.01,7,0.1,261.66
CA-2019-100032,2019-07-07,2019-07-08,First Class,CU-6958,Customer 393,Consumer,United States,City,State,West,Technology,Accessories,Accessories Product,1478.39,3,0.0,-149.72
CA-2019-100033,2019-09-28,2019-09-30,Same Day,CU-4960,Customer 163,Home Office,United States,City,State,South,Technology,Phones,Phones Product,945.97,6,0.2,-63.94
CA-2019-100034,2019-07-09,2019-07-14,Standard Class,CU-5507,Customer 223,Consumer,United States,City,State,West,Office Supplies,Paper,Paper Product,158.9,2,0.3,29.39
CA-2019-100035,2019-06-24,2019-06-26,Same Day,CU-8012,Customer 468,Corporate,United States,City,State,West,Technology,Accessories,Accessories Product,1019.51,2,0.1,31.51
CA-2019-100036,2019-02-20,2019-02-21,Same Day,CU-4770,Customer 198,Corporate,United States,City,State,South,Furniture,Bookcases,Bookcases Product,879.82,8,0.3,-153.1
CA-2019-100037,2019-12-30,2020-01-05,First Class,CU-8378,Customer 280,Corporate,United States,City,State,East,Furniture,Chairs,Chairs Product,1636.61,8,0.2,-17.72
CA-2019-100038,2019-02-24,2019-03-01,Same Day,CU-4052,Customer 61,Home Office,United States,City,State,East,Office Supplies,Storage,Storage Product,798.56,4,0.0,-66.43
CA-2019-100039,2019-09-01,2019-09-02,Standard Class,CU-7576,Customer 198,Corporate,United States,City,State,South,Office Supplies,Paper,Paper Product,1844.84,3,0.2,-206.82
CA-2019-100040,2019-11-16,2019-11-18,First Class,CU-4574,Customer 196,Consumer,United States,City,State,East,Technology,Phones,Phones Product,1516.06,3,0.0,-169.49
CA-2019-100041,2019-05-11,2019-05-14,First Class,CU-6769,Customer 102,Corporate,United States,City,State,East,Technology,Accessories,Accessories Product,1894.88,9,0.3,223.54
CA-2019-100042,2019-11-03,2019-11-07,First Class,CU-2785,Customer 231,Corporate,United States,City,State,East,Technology,Accessories,Accessories Product,983.94,7,0.2,3.26
CA-2019-100043,2019-05-15,2019-05-16,First Class,CU-1324,Customer 313,Consumer,United States,City,State,South,Furniture,Furnishings,Furnishings Product,1709.24,7,0.0,180.89
CA-2019-100044,2019-01-21,2019-01-23,Same Day,CU-1364,Customer 90,Corporate,United States,City,State,South,Technology,Laptops,Laptops Product,1892.42,8,0.1,36.6
CA-2019-100045,2019-11-25,2019-11-30,Second Class,CU-4081,Customer 329,Home Office,United States,City,State,Central,Furniture,Chairs,Chairs Product,1095.05,9,0.0,299.73
CA-2019-100046,2019-06-16,2019-06-17,Second Class,CU-2559,Customer 206,Home Office,United States,City,State,South,Technology,Accessories,Accessories Product,1738.26,2,0.1,307.39
CA-2019-100047,2019-10-01,2019-10-02,First Class,CU-2088,Customer 376,Consumer,United States,City,State,East,Technology,Phones,Phones Product,98.89,1,0.2,3.96
CA-2019-100048,2019-03-30,2019-04-03,Second Class,CU-4747,Customer 56,Home Office,United States,City,State,West,Technology,Accessories,Accessories Product,1859.17,5,0.2,-73.75
CA-2019-100049,2019-11-12,2019-11-14,Second Class,CU-5300,Customer 214,Home Office,United States,City,State,West,Furniture,Chairs,Chairs Product,516.3,5,0.1,107.65
CA-2019-100050,2019-01-14,2019-01-17,Second Class,CU-5537,Customer 292,Corporate,United States,City,State,South,Technology,Laptops,Laptops Product,775.54,7,0.1,17.7
CA-2019-100051,2019-08-30,2019-09-04,Same Day,CU-1256,Customer 65,Home Office,United States,City,State,East,Office Supplies,Storage,Storage Product,148.1,6,0.0,-7.3
CA-2019-100052,2019-09-22,2019-09-24,First Class,CU-2832,Customer 158,Consumer,United States,City,State,East,Furniture,Tables,Tables Product,213.6,8,0.3,23.77
CA-2019-100053,2019-12-12,2019-12-17,Same Day,CU-5997,Customer 89,Consumer,United States,City,State,East,Furniture,Bookcases,Bookcases Product,1111.88,1,0.3,179.22
CA-2019-100054,2019-02-22,2019-02-23,Standard Class,CU-5529,Customer 2,Consumer,United States,City,State,South,Office Supplies,Binders,Binders Product,1792.11,1,0.2,78.38
CA-2019-100055,2019-12-06,2019-12-10,Same Day,CU-5529,Customer 131,Home Office,United States,City,State,East,Office Supplies,Storage,Storage Product,750.21,2,0.0,-134.82
CA-2019-100056,2019-04-02,2019-04-06,Same Day,CU-7282,Customer 247,Corporate,United States,City,State,South,Furniture,Tables,Tables Product,307.16,6,0.1,19.44
CA-2019-100057,2019-09-21,2019-09-27,Same Day,CU-7032,Customer 382,Consumer,United States,City,State,South,Office Supplies,Binders,Binders Product,888.26,3,0.3,207.69
CA-2019-100058,2019-02-04,2019-02-07,Same Day,CU-7957,Customer 415,Consumer,United States,City,State,Central,Technology,Accessories,Accessories Product,433.06,3,0.1,-35.44
CA-2019-100059,2019-07-25,2019-07-29,Same Day,CU-7963,Customer 247,Consumer,United States,City,State,Central,Furniture,Chairs,Chairs Product,707.86,4,0.1,135.76
CA-2019-100060,2019-03-22,2019-03-23,Second Class,CU-4810,Customer 361,Corporate,United States,City,State,West,Office Supplies,Binders,Binders Product,702.86,5,0.0,39.56
CA-2019-100061,2019-02-19,2019-02-22,Same Day,CU-2359,Customer 336,Consumer,United States,City,State,West,Technology,Laptops,Laptops Product,1115.58,9,0.1,-199.58
CA-2019-100062,2019-12-26,2019-12-28,Second Class,CU-1667,Customer 449,Home Office,United States,City,State,East,Technology,Accessories,Accessories Product,356.28,2,0.1,-36.14
CA-2019-100063,2019-01-02,2019-01-06,First Class,CU-2025,Customer 106,Home Office,United States,City,State,West,Furniture,Furnishings,Furnishings Product,749.55,9,0.0,170.76
CA-2019-100064,2019-02-23,2019-02-26,First Class,CU-5102,Customer 393,Home Office,United States,City,State,East,Furniture,Bookcases,Bookcases Product,331.4,6,0.1,0.46
CA-2019-100065,2019-04-16,2019-04-17,First Class,CU-4872,Customer 462,Home Office,United States,City,State,East,Office Supplies,Binders,Binders Product,1683.47,7,0.1,241.95
CA-2019-100066,2019-09-17,2019-09-23,Same Day,CU-3666,Customer 464,Home Office,United States,City,State,East,Technology,Phones,Phones Product,370.42,6,0.1,25.3
CA-2019-100067,2019-11-06,2019-11-11,First Class,CU-1565,Customer 374,Corporate,United States,City,State,East,Technology,Phones,Phones Product,606.28,4,0.0,88.1
CA-2019-100068,2019-07-10,2019-07-15,First Class,CU-7083,Customer 311,Consumer,United States,City,State,South,Technology,Laptops,Laptops Product,1941.48,1,0.2,-319.2
CA-2019-100069,2019-08-06,2019-08-07,First Class,CU-1671,Customer 266,Home Office,United States,City,State,East,Furniture,Bookcases,Bookcases Product,973.08,4,0.1,225.73
CA-2019-100070,2019-02-13,2019-02-14,First Class,CU-7763,Customer 451,Corporate,United States,City,State,Central,Office Supplies,Storage,Storage Product,834.47,8,0.2,64.38
CA-2019-100071,2019-06-11,2019-06-16,First Class,CU-5608,Customer 131,Home Office,United States,City,State,East,Technology,Accessories,Accessories Product,436.17,3,0.3,-45.05
CA-2019-100072,2019-07-21,2019-07-27,Second Class,CU-5483,Customer 241,Corporate,United States,City,State,West,Furniture,Chairs,Chairs Product,562.8,1,0.0,144.03
CA-2019-100073,2019-09-27,2019-09-30,Same Day,CU-8396,Customer 171,Home Office,United States,City,State,East,Office Supplies,Storage,Storage Product,1417.36,9,0.0,255.55
CA-2019-100074,2019-12-17,2019-12-22,First Class,CU-2782,Customer 316,Home Office,United States,City,State,East,Office Supplies,Labels,Labels Product,1355.57,4,0.2,319.46
CA-2019-100075,2019-10-31,2019-11-01,Standard Class,CU-8034,Customer 142,Consumer,United States,City,State,East,Furniture,Tables,Tables Product,517.91,6,0.0,115.38
CA-2019-100076,2019-09-28,2019-10-02,Standard Class,CU-7468,Customer 198,Home Office,United States,City,State,South,Furniture,Furnishings,Furnishings Product,1303.32,9,0.1,194.31
CA-2019-100077,2019-08-03,2019-08-05,Standard Class,CU-2502,Customer 77,Home Office,United States,City,State,Central,Office Supplies,Paper,Paper Product,996.85,2,0.1,-129.51
CA-2019-100078,2019-09-09,2019-09-15,Standard Class,CU-4041,Customer 481,Consumer,United States,City,State,South,Office Supplies,Paper,Paper Product,881.73,3,0.2,139.51
CA-2019-100079,2019-07-09,2019-07-15,Standard Class,CU-7806,Customer 286,Corporate,United States,City,State,South,Furniture,Furnishings,Furnishings Product,1866.99,8,0.2,-2.53
CA-2019-100080,2019-10-23,2019-10-27,Same Day,CU-5019,Customer 132,Corporate,United States,City,State,East,Furniture,Bookcases,Bookcases Product,1009.72,1,0.0,-94.48
